name,price
"Time on Frog Island (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 349,000"
Frogo (English),"Rp 15,000"
"War Thunder - German Starter Bundle (English, Japanese)","Rp 69,000"
Madden NFL 23 All Madden Edition PS5™ & PS4™ (English),"Rp 845,400"
Crypt of the Serpent King Remastered 4K Edition (English),"Rp 28,700"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 579,000"
Madden NFL 23 PS5™ (English),"Rp 1,009,000"
"Klonoa Phantasy Reverie Series Digital Deluxe Edition PS4 & PS5 (English, Japanese)","Rp 779,000"
Quick Mafs Advanced (English),"Rp 29,000"
We Are OFK (English),"Rp 279,000"
"Pretty Girls Four Kings Solitaire PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 83,000"
Space KaBAAM 3 (English),"Rp 29,000"
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 343,200"
"Rollerdrome (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Game Trial
"Klonoa Phantasy Reverie Series PS4 & PS5 (English, Japanese)","Rp 499,000"
"Rollerdrome (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Way of the Hunter (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 579,000"
"Way of the Hunter: Elite Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 779,000"
Overrogue (English),"Rp 198,000"
The Sheep P (English),"Rp 29,000"
Monument Journey (English),"Rp 29,000"
Snow Journey (English),"Rp 29,000"
Tump Jump (English),"Rp 29,000"
"Cult of the Lamb (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
Rainbow (English),"Rp 29,000"
"Rumbleverse™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Free
"Arcade Paradise Digital Deluxe PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Arcade Paradise PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Book Quest PS4 & PS5 (English),"Rp 67,900"
Two Point Campus PS4 & PS5 (English),"Rp 549,000"
Guilty Gear -Strive- + Season Pass 1 PS4 & PS5 (English),"Rp 680,000"
Guilty Gear -Strive- Ultimate Edition 2022 PS4 & PS5 (English),"Rp 527,400"
